area_name ,Latitude,Longitude,area_catagory ,statute ,penalty,address,금연구역면적,금연구역범위상세,데이터기준일자
수서목련공원,37.4905488,127.1037562,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 712-1,1419,시설전체,2017-11-17
수서개나리공원,37.4875022,127.1054073,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 723-1,1500,시설전체,2017-11-17
아래반고개공원,37.4638577,127.1070942,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 129-13,863,시설전체,2017-11-17
윗반 고개공원,37.4656608,127.1091449,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 99-6,2,시설전체,2017-11-17
윗반 고개공원,37.4657271,127.1094493,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 100-15,187,시설전체,2017-11-17
윗반 고개공원,37.4657995,127.109367,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-9,109,시설전체,2017-11-17
달터공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 156외 23필지,232078,시설전체,2017-11-17
도곡공원,37.4898434,127.0438136,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 산31-1외93필지,254648,시설전체,2017-11-17
개포공원,37.4830336,127.063861,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 139,90064,시설전체,2017-11-17
청담공원,37.5231998,127.0486655,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 청담동 66외 4필지,59347,시설전체,2017-11-17
학동공원,37.5155317,127.0251861,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 26,29947,시설전체,2017-11-17
역삼공원,37.4999072,127.0373932,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 635외 1필지,28519,시설전체,2017-11-17
싸리고개공원,37.4898434,127.0438136,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 550외 5필지,15073,시설전체,2017-11-17
봉은사공원,37.5139848,127.0565207,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 75외 4필지,75636,시설전체,2017-11-17
도산공원,37.5239121,127.0355914,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 신사동 649-9,29817,시설전체,2017-11-17
늘벗공원,37.4896066,127.0571491,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 501,19812,시설전체,2017-11-17
한티공원,37.4994914,127.0610527,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 212-1 외 13필지,19200,시설전체,2017-11-17
청수공원,37.5231998,127.0486655,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 청담동 134-13외 12필지,17402,시설전체,2017-11-17
대청공원,37.4927795,127.0828179,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 621,14089,시설전체,2017-11-17
포이공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 1239-21외 4필지,13577,시설전체,2017-11-17
대진공원,37.4960323,127.0787736,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 13-1,13568,시설전체,2017-11-17
한솔공원,37.4809196,127.0781655,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 732,12878,시설전체,2017-11-17
윗반 고개공원,37.4658871,127.1092767,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-24,94,시설전체,2017-11-17
윗반 고개공원,37.4657271,127.1094493,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 100-15,100,시설전체,2017-11-17
윗반 고개공원,37.4658084,127.1092347,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-8,252,시설전체,2017-11-17
윗반 고개공원,37.4656964,127.1091987,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-17,105,시설전체,2017-11-17
윗반 고개공원,37.4659331,127.1092795,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-22,183,시설전체,2017-11-17
학여울공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 183-1외 1필지,12506,시설전체,2017-11-17
배밭공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 181외 1필지,11627,시설전체,2017-11-17
늘푸른공원,37.4898686,127.0774358,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 690,11410,시설전체,2017-11-17
개포서공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 180외 2필지,11219,시설전체,2017-11-17
대치공원,37.4951065,127.0698635,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 512,10409,시설전체,2017-11-17
윗반 고개공원,37.46592,127.1094583,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 104-11,74,시설전체,2017-11-17
윗반 고개공원,37.4658308,127.1094537,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 101,76,시설전체,2017-11-17
윗반 고개공원,37.4657088,127.1092867,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-28,67,시설전체,2017-11-17
윗반 고개공원,37.4656455,127.1092603,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-29,1,시설전체,2017-11-17
독골공원,37.4845355,127.0468249,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 461,10023,시설전체,2017-11-17
탄천공원,37.4874195,127.1062745,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 722,10011,시설전체,2017-11-17
개포동공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 182-1 외2필지,9706,시설전체,2017-11-17
청룡공원,37.4855782,127.0543594,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 649-1,9367,시설전체,2017-11-17
은곡마을공원,37.4680242,127.1004438,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 369-3,2686,시설전체,2017-11-17
쟁골공원,37.459131,127.1005944,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 233-2,468,시설전체,2017-11-17
못골공원,37.4735563,127.1001604,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 447-23,698,시설전체,2017-11-17
못골공원,37.4735051,127.1004143,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 421-1,51,시설전체,2017-11-17
윗방죽마을공원,37.4702593,127.1046598,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 율현동 308-29,935,시설전체,2017-11-17
아랫방죽마을공원,37.4732596,127.1082045,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 율현동 194-1,386,시설전체,2017-11-17
충현1 공원,37.5046842,127.036522,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 666-2,1538,시설전체,2017-11-17
충현2 공원,37.5053514,127.0382393,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 663-19,581,시설전체,2017-11-17
충현2 공원,37.5054137,127.0384693,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 663-20,603,시설전체,2017-11-17
삼성동차고지공원,37.5155653,127.0662647,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성1동 171-4,1896,시설전체,2017-11-17
청담가로공원,37.5139848,127.0565207,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동80외 7필지,5600,시설전체,2017-11-17
쌍용가로공원,37.4994914,127.0610527,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 5-3외 2필지,3200,시설전체,2017-11-17
대치동 자투리녹지,37.4994914,127.0610527,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동1017-3외 1필지,386,시설전체,2017-11-17
수서동 궁마을 쉼터,37.4842819,127.0965436,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 501-1,620,시설전체,2017-11-17
삼성동 자투리녹지,37.5129778,127.0487958,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 46-15,148,시설전체,2017-11-17
어린이공원1(어린이공원),37.4620948,127.101929,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 522-1,,시설전체,2017-11-17
갈매기공원,37.5309272,127.0345428,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 압구정동 480,7732,시설전체,2017-11-17
신사공원,37.5267081,127.0214576,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 압구정동 422,6800,시설전체,2017-11-17
삼성은행나무공원,37.5139848,127.0565207,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 14외 1필지,1500,시설전체,2017-11-17
길섶공원,37.4975499,127.0488965,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 757-1,1581,시설전체,2017-11-17
영동공원,37.4980245,127.0486372,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 755-7,1294,시설전체,2017-11-17
보은공원,37.4979014,127.0482305,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 754-4,1148,시설전체,2017-11-17
매봉공원,37.4920871,127.0502685,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 527-7,6147,시설전체,2017-11-17
언주공원,37.4999072,127.0373932,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 754-7외 1필지,1111,시설전체,2017-11-17
도성공원,37.4999072,127.0373932,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 713-15외 1필지,1989,시설전체,2017-11-17
송운공원,37.4992783,127.0490352,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 755-9,1175,시설전체,2017-11-17
반달공원,37.5161862,127.0428581,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 7-4,679,시설전체,2017-11-17
배꽃공원,37.5162471,127.0445903,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 11-3,1593,시설전체,2017-11-17
큰골공원,37.4938114,127.054726,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 888-3,1688,시설전체,2017-11-17
새뜰공원,37.4965622,127.0510057,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 765-30,428,시설전체,2017-11-17
샘터공원,37.5175682,127.046733,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 16-4,1800,시설전체,2017-11-17
학봉공원,37.5173474,127.044048,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 50-3,1343,시설전체,2017-11-17
다솜공원,37.4969822,127.048103,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 763-18,604,시설전체,2017-11-17
어린이공원2(어린이공원),37.4685794,127.1222702,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 526-2,,시설전체,2017-11-17
출발마당(근린공원),37.4824267,127.0494636,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 1267-1,,시설전체,2017-11-17
경복아파트 소공원,37.5093526,127.0388621,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 276-2,800,시설전체,2017-11-17
강남 보금자리 지구 근린공원1호(근린공원),37.4692712,127.1073203,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 603번지,18856.7,시설전체,2017-11-17
